".ci",".x",".y",".sids",".axisIndex","UKA_app.UKA.Kinase Name","UKA_app.UKA.Median Final score",".ri",".xs",".ys",".y0s"
1,-32.2761698568113,2.34332695411515,11,0,"FRK",2.34332695411515,0,20029,35897,65535
1,-32.91523103807366,2.5516028965422324,7,0,"SRMS",2.5516028965422324,0,18125,40447,65535
1,-36.2196160567451,3.6655462488490693,1,0,"LCK",3.6655462488490693,0,8282,64781,65535
2,-17.28350185644643,0.9674457032256792,295,0,"JAK1",0.9674457032256792,0,64819,5842,65535
2,-19.303609847738286,0.973140237826774,291,0,"ROS1",0.973140237826774,0,59727,5966,65535
2,-23.11842088574114,0.9789099795867758,285,0,"JAK3",0.9789099795867758,0,50112,6092,65535
2,-27.655664393708587,0.9807008872046566,284,0,"HCK",0.9807008872046566,0,38675,6131,65535
2,-21.875352453184902,0.994373406133986,279,0,"TYK2",0.994373406133986,0,53245,6430,65535
2,-22.446477714966324,0.9956585977400905,277,0,"INSRR",0.9956585977400905,0,51805,6458,65535
2,-31.596900970522658,0.997160332159069,276,0,"SYK",0.997160332159069,0,28741,6491,65535
2,-22.395675633603418,0.9976328268030306,274,0,"PTK7",0.9976328268030306,0,51933,6501,65535
2,-22.922471769218753,1.002359882137461,267,0,"EPHB4",1.002359882137461,0,50606,6604,65535
2,-28.757182037170228,1.0046807708452,265,0,"FLT1",1.0046807708452,0,35899,6655,65535
2,-29.378142661008894,1.0094480468362372,263,0,"NTRK1",1.0094480468362372,0,34334,6759,65535
2,-27.333119025712627,1.0230817286069478,253,0,"FGFR3",1.0230817286069478,0,39488,7057,65535
2,-23.202929528991536,1.0280565193365585,251,0,"FLT4",1.0280565193365585,0,49899,7166,65535
2,-30.29165534377037,1.034102479835897,244,0,"YES1",1.034102479835897,0,32031,7298,65535
2,-29.817168712549382,1.034102479835897,243,0,"JAK2",1.034102479835897,0,33227,7298,65535
2,-24.828032480079827,1.0370527526440165,240,0,"EPHB3",1.0370527526440165,0,45803,7362,65535
2,-30.777203679697237,1.0527623921293336,228,0,"NTRK3",1.0527623921293336,0,30808,7705,65535
2,-25.29654075820617,1.0538242389442614,224,0,"EPHA1",1.0538242389442614,0,44622,7729,65535
2,-31.18400987547926,1.0559518396238492,223,0,"ERBB3",1.0559518396238492,0,29782,7775,65535
2,-29.358394653633617,1.061320195764599,220,0,"FES",1.061320195764599,0,34384,7892,65535
2,-30.993499329763335,1.064573353162321,219,0,"BTK",1.064573353162321,0,30262,7963,65535
2,-32.02360548038875,1.072260181828612,212,0,"ABL1",1.072260181828612,0,27666,8131,65535
2,-29.3610288924953,1.072260181828612,213,0,"KIT",1.072260181828612,0,34377,8131,65535
2,-30.427006260704065,1.0789589441773142,210,0,"LYN",1.0789589441773142,0,31690,8278,65535
2,-26.525862002333042,1.0946646337111752,206,0,"EPHA3",1.0946646337111752,0,41523,8621,65535
2,-31.196619245027414,1.0950033089671716,205,0,"LTK",1.0950033089671716,0,29750,8628,65535
2,-29.07414928788748,1.1068376783159035,196,0,"EPHA2",1.1068376783159035,0,35100,8887,65535
2,-32.29705902305052,1.1080390469434112,194,0,"EGFR",1.1080390469434112,0,26977,8913,65535
2,-30.668780208000744,1.1190035853709381,190,0,"FLT3",1.1190035853709381,0,31081,9152,65535
2,-30.54478357046234,1.1264701500562926,188,0,"FGR",1.1264701500562926,0,31393,9316,65535
2,-32.20665917609953,1.1289878062775391,186,0,"TXK",1.1289878062775391,0,27205,9371,65535
2,-31.831581475393698,1.1289878062775391,185,0,"INSR",1.1289878062775391,0,28150,9371,65535
2,-32.0747595300556,1.1327918698565713,181,0,"PTK2B",1.1327918698565713,0,27537,9454,65535
2,-32.119684467755874,1.1366295485714144,179,0,"BMX",1.1366295485714144,0,27424,9538,65535
2,-29.193024212128826,1.1464349296647098,173,0,"EPHA5",1.1464349296647098,0,34801,9752,65535
2,-30.729256114347,1.1470323089711816,172,0,"FGFR2",1.1470323089711816,0,30928,9765,65535
2,-32.66183193084299,1.1483503508990949,171,0,"ZAP70",1.1483503508990949,0,26057,9794,65535
2,-31.83903621511351,1.1713916548306265,166,0,"RET",1.1713916548306265,0,28131,10297,65535
2,-30.56882273846465,1.1812464095022834,158,0,"EPHB2",1.1812464095022834,0,31333,10512,65535
2,-29.843223071258112,1.1827878296770442,157,0,"ROR1",1.1827878296770442,0,33162,10546,65535
2,-29.886403276096463,1.1869797532552258,154,0,"EPHA4",1.1869797532552258,0,33053,10637,65535
2,-33.099952195725606,1.2046484060925213,148,0,"ABL2",1.2046484060925213,0,24953,11023,65535
2,-32.98223327243687,1.2107013888405591,146,0,"AXL",1.2107013888405591,0,25250,11156,65535
2,-31.977866544136667,1.2325769579746635,144,0,"EPHB1",1.2325769579746635,0,27781,11633,65535
2,-33.08623283027719,1.2423003749122614,143,0,"SRC",1.2423003749122614,0,24988,11846,65535
